Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_Links,Route_Names
APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:00,00:10,08h 10m,469.0,30 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,567.0,32 Seats available,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,720.0,29 Seats available,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,720.0,33 Seats available,3.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 24251,INDRA(A.C. Seater),17:00,21:55,04h 55m,528.0,16 Seats available,3.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06:15,06h 50m,439.0,22 Seats available,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,06:00,06h 15m,409.0,32 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:45,07h 00m,439.0,25 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
AdIntrCity SmartBus,AC Sleeper (2+1),22:30,05:40,07h 10m,629.0,24 Seats available,4.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),22:50,05:00,06h 10m,500.0,26 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 24279,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:40,19:30,03h 50m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 27129,METRO LUXURY A/C,16:00,19:05,03h 05m,383.0,9 Seats available,4.0,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2524,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:15,20:45,04h 30m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2695,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,19:30,03h 00m,281.0,29 Seats available,3.3,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,20:30,03h 45m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2891,INDRA(A.C. Seater),17:00,20:00,03h 00m,340.0,29 Seats available,3.5,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2534,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,21:45,04h 30m,281.0,34 Seats available,3.9,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2815,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,20:30,03h 00m,281.0,33 Seats available,3.4,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23527,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,22:15,04h 30m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 27083,METRO LUXURY A/C,18:00,20:50,02h 50m,383.0,26 Seats available,4.1,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3332,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,22:00,04h 00m,281.0,34 Seats available,2.7,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2857,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",18:15,23:30,05h 15m,269.0,35 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2869,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,21:30,03h 00m,281.0,34 Seats available,4.0,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3324,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,23:00,04h 00m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 24275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,22:50,03h 30m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,5000.0,1 Seat available,0.0,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 47236,Express(Non AC Seater),16:15,20:20,04h 05m,186.0,45 Seats available,4.7,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9011,Express(Non AC Seater),16:30,20:15,03h 45m,186.0,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9049,Express(Non AC Seater),17:15,20:40,03h 25m,186.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9888,Express(Non AC Seater),19:00,23:20,04h 20m,186.0,41 Seats available,3.5,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
